標的代號,標的名稱,產業
DISCK,華納兄弟探索公司,通訊服務
DISH,DISH網路公司,通訊服務
DKNG,DraftKings公司,非必需消費品
DLR,數位不動產信託公司,房地產
DLTR,錢樹商店公司,必需消費品
DOC,Healthpeak Properties Inc,房地產
DOCN,數位海洋控股公司,資訊科技
DOCU,DocuSign公司,資訊科技
DORM,多爾曼產品公司,非必需消費品
DOV,多佛公司,工業
DOW,陶氏,原材料
DOYU,鬥魚國際控股有限公司,通訊服務
DPZ,達美樂披薩股份有限公司,非必需消費品
DRE,杜克房地產公司,房地產
DRI,達登餐廳公司,非必需消費品
DRIV,Global X Autonomous & Electric,
DSI,iShares安碩ESG MSCI KLD 400 ET,
DSX,Diana Shipping Inc,工業
DTE,DTE能源,公用事業
DUK,杜克能源公司,公用事業
DUST,Direxion每日金礦業空頭2倍股,
DVA,德維特公司,醫療保健
DVN,戴文能源,能源
DVY,iShares安碩精選高股利ETF,
DXC,易思資訊科技股份有限公司,資訊科技
DXCM,德康醫療公司,醫療保健
DXGE,智慧樹德國對沖股票基金,
DXJ,智慧樹日本股票型對沖基金,
EA,美商藝電公司,通訊服務
EBAY,電子灣拍賣網站公司,非必需消費品
EBC,東方銀行股份公司,金融服務
EBIZ,Global X E-Commerce ETF,
ECL,藝康集團,原材料
ED,聯合愛迪生,公用事業
EDC,Direxion每日MSCI新興市場多頭3,
EDOC,Global X HealthTech ETF,
EDV,領航美國長期國債ETF,
EDZ,Direxion每日MSCI新興市場空頭3,
EEM,iShares MSCI新興市場ETF,
EET,ProShares Ultra MSCI Emerging,
EEV,ProShares二倍放空MSCI新興市場E,
EFA,iShares MSCI EAFE ETF,
EFAV,iShares安碩MSCI EAFE最小波動率,
EFX,易速傳真公司,工業
EG,Everest集團有限公司,金融服務
EIDO,iShares安碩MSCI印尼交易所交易,
EIX,愛迪生國際,公用事業
EL,雅詩蘭黛,必需消費品
ELV,Elevance健康公司,醫療保健
EMBC,英佰達公司,醫療保健
EMLP,First Trust北美能源基礎建設主,
EMN,伊士曼化學有限公司,原材料
EMR,艾默生電氣,工業
ENPH,Enphase能源公司,資訊科技
ENVX,依諾維公司,工業
EOG,依歐格資源,能源
EPHE,iShares MSCI菲律賓ETF,
EPI,WisdomTree印度收益基金,
EPOL,iShares安碩MSCI波蘭ETF,
EPP,iShares MSCI太平洋除日本ETF,
EPV,ProShares兩倍放空富時歐洲ETF,
EQIX,Equinix公司,房地產
EQR,公平住屋公司,房地產
ERUS,iShares MSCI俄羅斯上限ETF,
ERX,Direxion每日能源多頭2倍股,
ES,Eversource能源,公用事業
ESGD,iShares ESG Aware MSCI EAFE ET,
ESGE,iShares ESG Aware MSCI EM ETF,
ESGU,iShares ESG Aware MSCI USA ETF,
ESGV,Vanguard ESG US Stock ETF,
ESPO,VanEck Video Gaming and eSport,
ESRX,Evernorth健康公司,醫療保健
ESS,埃塞克斯不動產信託公司,房地產
ETFC,億創理財公司,金融服務
ETN,伊頓公開有限公司,工業
ETR,安特吉公司,公用事業
ETSY,Etsy公司,非必需消費品
EUFN,iShares MSCI歐洲金融ETF,
EUM,ProShares一倍放空MSCI新興市場,
EUO,ProShares UltraShort歐元,
EVGO,EVgo公司,非必需消費品
EVRG,Evergy公司,公用事業
EW,愛德華生命科學,醫療保健
EWA,iShares MSCI澳洲ETF,
EWD,iShares安碩MSCI瑞典ETF,
EWG,iShares MSCI德國ETF,
EWH,iShares MSCI香港ETF,
EWI,iShares安碩MSCI義大利ETF,
EWJ,iShares MSCI日本ETF,
EWM,iShares MSCI馬來西亞ETF,
EWP,iShares MSCI西班牙上限ETF,
EWQ,iShares MSCI法國ETF,
EWS,iShares安碩MSCI新加坡ETF,
EWU,iShares MSCI英國ETF,
EWV,ProShares兩倍放空型MSCI日本指,
EWW,iShares安碩MSCI墨西哥ETF,
EWY,iShares安碩MSCI南韓ETF,
EWZ,iShares安碩MSCI巴西ETF,
EXAS,精密科學公司,醫療保健
EXC,愛克斯龍公司,公用事業
EXPD,Expeditors International of Wa,工業
EXPE,智遊網集團公司,非必需消費品
EXR,額外空間倉儲公司,房地產
EZA,iShares MSCI南非ETF,
EZJ,ProShares二倍做多MSCI日本,
F,福特汽車公司,非必需消費品
FAN,第一信託全球風力能源ETF,
FANG,響尾蛇能源公司,能源
FAST,快扣有限公司,工業
FB,ProShares S&P 500 Dynamic Buff,
FBHS,好運品牌創新公司,工業
FBIN,好運品牌創新公司,工業
FBT,第一信託NYSE Arca生技指數基金,
FCG,第一信託天然氣ETF,
FCX,自由港麥克莫蘭銅金公司,原材料
FDN,第一信託道瓊網路指數基金,
FDNI,First Trust Dow Jones Internat,
FDX,聯邦快遞公司,工業
FE,第一能源公司,公用事業
FEZ,思柏達歐盟STOXX 50 ETF,
FFIV,F5公司,資訊科技
FI,Fiserv公司,金融服務
FINX,Global X FinTech ETF,
FIS,富達全國資訊服務,金融服務
FISV,Fiserv公司,金融服務
FITB,五三銀行,金融服務
FIVG,Defiance Connective Technologi,
FIW,First Trust Water ETF,
FL,Foot Locker公司,非必需消費品
FLIR,FLIR系統公司,資訊科技
FLR,福陸公司,工業
FLS,Flowserve Corp,工業
FLT,Corpay公司,金融服務
FM,iShares安碩邊境及精選EM指數股,
FMC,FMC公司,原材料
FOX,福斯公司,通訊服務
FOXA,福斯公司,通訊服務
FPEI,First Trust Institutional Pref,
